0qedgapfkfqr6nw1yh67wydugtkvq5wu	r p s 	p r r 
12r25tpee4mzv2fuabqli828xzbbeiwe	s p s r s p r r r r s p s r p s r p s r p s p p s p r s p p p s p p 	r r p s p s r s p s p s s p r p r r p p r s s s r r s s s r s s p s 
16s0hzlqw71pcsf39hderfn0no10uu1q	s p r s r s s p s r p s r 	p s r r r r p r r p r s r 
1nlweighb7q6sricbnscccc3077l86mn	p p p p p p p p p p p p p p p p p p p p p p r p s p s r p s r p s s s s s p p p p p p p p p p p p p p p r s r s p r s p s r p r p p s p r p s p r s 	r s p r p s s p s s p r r r s r r r r p s p p p r p r p s r r s s r p r s r p s p r s r s s s p p p p s p r p p p p s s p s s p p s p s s r s p p p 
1otrg8efkhgony9qsuh47n1azlxlamjl	p s s p p r s p p r r r r s s p s s r p p r s p p p p r r r r r r r r r r r r r s s p s s r s p s p r r s s r p p p p r r s s r p p s p r p p p p s r p s p p r r r p s s p r s p r r p p p p p p p p r s s r p s r p p s p s p r p p p p p s s p p r r r s s p s r r r p p s s r r p p p p p p p p p p p p p p p p p p p r r r s p r p s p p p r r p s s p s r p p s p r s p p r r r s s s p p r p p p s s p r s s p s s s r p s p p r r r r r s s s s s s p r r r p p p s p p r r s p r p p s s p r r r r r r p r r r s p r r r r p r r r s p p r r r r s p p r r r r r s s s p p p p p r r s p s r p p r p p s p r p p s p s s 	p r s r r p s s r s s p s r p r s p r s r s p s s p r p p r r p r r r p r s s s s p p r r r s p s s s p s r r s r p r r s p r r p p s p r p r s r p r r p s r p r s p p p r r p r p s s s p s p s r r s p s s r s r r s p s r s p p s r p r r p s r r p p r s p r p s r s p r p s p r r s s s p s r p s s s p s r r s s p r s r r p p p s p p r s s r s p p p r r p s r p s r r r r s s s p s s p p r p s s p p r p r r s s p s r r p r r s s p s r r r p p s p r s s r p r r s s p s s r p s s r s s r p p s r p r s r r s s r r p s r s p r r s r s s p s p p p p r s r r s r r r r r s s p s p p r p p p p s r p r r r p s p p 
26vfhar4vmat0f4j32lqefhlfnwc333b	p s p s s s s r r r s s s s s r p s 	r r p p s s p p r s r r r s p s p p 
29fe9qd52oyq3o43uuv2fi2gv0g3v2f9	p r s p r p s p r p p s p p p p r p r s s r p s s r r p p p r r p s p s p s p s p r r s s p r s s r s p s s p p p r p r r s s p r s s s p p s r r p r p r s p r s s p r s p r s p r s p r s p r s p r s p r s p r s p r s p r s p r s r s p r s p r s p r s p r s p r s p r s p r s p r r p s r p s p p r p 	s p r p p p p s s p r p p p s p s p p p p p s p s s s r p p p p p s s r p r r s r p p r p s s p p p p p p p r r r p s s s s r p p s r s p p s s s r r p p r p s r r s s p s p p p r p p r p p s s s s r s s r r s p p r p p r p p r s p s s r p p p p s s s p p r s r r s p r p p r s p r s r s p s r p p r 
3chm0fuot56bg4fk0b5hdi9p22bxq9mw	p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p 	s r s s s p r p s r s p r r s p s p s p r s p r r p p s r s p r s s r p s s r r p s s s p s p p s p r s s s s p s p r s s r r s s r r p r s s r s s p r p p r p r p r p p s s p s s p s s s p r s r p s s p s r p s r r r s p s p r p r r s p p p r r r p p s s r s r p r p p r p p s p s s p r p r r p s r s p p s r s s r r p p p s r s p r p s s s s p s s s s p p p s r s s s s r s p p s s r p p r r r s p p p p s p s r r p p s p p r r s r p s r p p p r p s p s p s r p p p r r s r r r r s p s r r s r r r r p r s r p p r s r p p p p p r p p r p r s r r p r r p r s r p p p r s s p r s r r p s s r p p r s s s p r p p r p s 
3p6xvf2500uoseogvejoxvs3lpj305rm	p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p s s s s s s s s s s s s s s s s s s s p p p p p p p p r r r r r r r r r r r r s r s r p s r p s r s r p p r p r p s r p r p s r r p s r s r p s r p s r r 	s p p s p s p s r s r s p r s r s r p s p p p r p r s s s s r s s p r r s p p p r p r p p s s p s s p r r r r r p s p s s s r s s p s p r s s s s p p r r p p p s p s r r s s s s s s p p s s r s s r s r s p p r s s p p p s p s s p p s r s s p p p s s r r s p s p p r r s r p s p r r s p s p p s s p p r 
43j9x5ovujvyj7mjxirg7epjtcmqu1qy	p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p p 	r s p r p p r p s p s r p r r p p p s s r s s r r s s p p p p s s r s r r r r s p 
4i7mz1ndsvq3qfsxuzpb5v6wgq4dnahl	s s r p s r p s p r s p r p p r p s r p s r p s s p r r s r r s p p 	s p p s r p r s r r s s p r s p s p s r s r r r p p p p s r s p r p 
